"level","exp","stamina_max","deck_count_max","friend_count_max"
"97","2368500","108","4","50"
"98","2418000","108","4","50"
"99","2468000","109","4","50"
"100","2519000","109","5","50"
"101","2571000","110","5","50"
"102","2624000","110","5","50"
"103","2678000","111","5","50"
"104","2733000","111","5","50"
"105","2789000","112","5","50"
"106","2846000","112","5","50"
"107","2904000","113","5","50"
"108","2963000","113","5","50"
"109","3023000","114","5","50"
"110","3084000","114","5","50"
"111","3146000","115","5","50"
"112","3209000","115","5","50"
"113","3273000","116","5","50"
"114","3338000","116","5","50"
"115","3404000","117","5","50"
"116","3471000","117","5","50"
"117","3539000","118","5","50"
"118","3608000","118","5","50"
"119","3678000","119","5","50"
"120","3749000","119","5","50"
"121","3821000","120","5","50"
"122","3894000","120","5","50"
"123","3968000","121","5","50"
"124","4043000","121","5","50"
"125","4119000","122","5","50"
"126","4196000","122","5","50"
"127","4274000","123","5","50"
"128","4353000","123","5","50"
"129","4433000","124","5","50"
"130","4514000","124","5","50"
"131","4596000","125","5","50"
"132","4679000","125","5","50"
"133","4763000","126","5","50"
"134","4848000","126","5","50"
"135","4934000","127","5","50"
"136","5021000","127","5","50"
"137","5109000","128","5","50"
"138","5198000","128","5","50"
"139","5288000","129","5","50"
"140","5379000","129","5","50"
"141","5471000","130","5","50"
"142","5564000","130","5","50"
"143","5658000","131","5","50"
"144","5753000","131","5","50"
"145","5849000","132","5","50"
"146","5946000","132","5","50"
"147","6044000","133","5","50"
"148","6143000","133","5","50"
"149","6243000","134","5","50"
"150","6344000","134","5","50"
"151","6446000","135","5","50"
"152","6549000","135","5","50"
"153","6653000","136","5","50"
"154","6758000","136","5","50"
"155","6864000","137","5","50"
"156","6971000","137","5","50"
"157","7079000","138","5","50"
"158","7188000","138","5","50"
"159","7298000","139","5","50"
"160","7409000","139","5","50"
"161","7521000","140","5","50"
"162","7634000","140","5","50"
"163","7748000","141","5","50"
"164","7863000","141","5","50"
"165","7979000","142","5","50"
"166","8096000","142","5","50"
"167","8214000","143","5","50"
"168","8333000","143","5","50"
"169","8453000","144","5","50"
"170","8574000","144","5","50"
"171","8696000","145","5","50"
"172","8819000","145","5","50"
"173","8943000","146","5","50"
"174","9068000","146","5","50"
"175","9194000","147","5","50"
"176","9321000","147","5","50"
"177","9449000","148","5","50"
"178","9578000","148","5","50"
"179","9708000","149","5","50"
"180","9839000","149","5","50"
"181","9971000","150","5","50"
"182","10104000","150","5","50"
"183","10238000","151","5","50"
"184","10373000","151","5","50"
"185","10509000","152","5","50"
"186","10646000","152","5","50"
"187","10784000","153","5","50"
"188","10923000","153","5","50"
"189","11063000","154","5","50"
"190","11204000","154","5","50"
"191","11346000","155","5","50"
"192","11489000","155","5","50"
"193","11633000","156","5","50"
"194","11778000","156","5","50"
"195","11924000","157","5","50"
"196","12071000","157","5","50"
"197","12219000","158","5","50"
"198","12368000","158","5","50"
"199","12518000","159","5","50"
"200","12669000","159","5","50"
"201","12820500","160","5","50"
"202","12972500","160","5","50"
"203","13125000","161","5","50"
"204","13278000","161","5","50"
"205","13431500","162","5","50"
"206","13585500","162","5","50"
"207","13740000","163","5","50"
"208","13895000","163","5","50"
"209","14050500","164","5","50"
"210","14206500","164","5","50"
"211","14363000","165","5","50"
"212","14520000","165","5","50"
"213","14677500","166","5","50"
"214","14835500","166","5","50"
"215","14994000","167","5","50"
"216","15153000","167","5","50"
"217","15312500","168","5","50"
"218","15472500","168","5","50"
"219","15633000","169","5","50"
"220","15794000","169","5","50"
"221","15955500","170","5","50"
"222","16117500","170","5","50"
"223","16280000","171","5","50"
"224","16443000","171","5","50"
"225","16606500","172","5","50"
"226","16770500","172","5","50"
"227","16935000","173","5","50"
"228","17100000","173","5","50"
"229","17265500","174","5","50"
"230","17431500","174","5","50"
"231","17598000","175","5","50"
"232","17765000","175","5","50"
"233","17932500","176","5","50"
"234","18100500","176","5","50"
"235","18269000","177","5","50"
"236","18438000","177","5","50"
"237","18607500","178","5","50"
"238","18777500","178","5","50"
"239","18948000","179","5","50"
"240","19119000","179","5","50"
"241","19290500","180","5","50"
"242","19462500","180","5","50"
"243","19635000","181","5","50"
"244","19808000","181","5","50"
"245","19981500","182","5","50"
"246","20155500","182","5","50"
"247","20330000","183","5","50"
"248","20505000","183","5","50"
"249","20680500","184","5","50"
"250","20856500","184","5","50"
