"attack_id","attack_name","attack_type","attack_target","target_attribute","target_type","attack_value_type","attack_value","attack_effect_turn","attack_effect_value","attack_effect_value_type","pallet_change"
"22002","お客さんなんて珍しいわね","1","99","0","0","4","50","0","0","0","0"
"22004","無礼者め","1","99","0","0","4","50","0","0","0","0"
"22005","よくぞたどり着いた","1","99","0","0","4","50","0","0","0","0"
"22303","秘めたる技を見よ！","1","99","0","0","4","50","0","0","0","0"
"1000101","素材、そざい！ケラケラケラ……","900","99","0","0","0","0","0","0","0","0"
"1000102","素材、ザックザク？ケラケラケラ……","900","99","0","0","0","0","0","0","0","0"
"1000103","祝福素材？力ずくで奪ってみなさいよぉ……！","900","99","0","0","0","0","0","0","0","0"
"1000104","素材だぁ？俺に勝てたらな！","900","99","0","0","0","0","0","0","0","0"
"1000105","私に勝って素材を奪えるかな・・・？","1","99","0","0","4","40","0","0","0","0"
"1000106","やれやれ、また犠牲者が現れた","1","99","0","0","4","40","0","0","0","0"
"1000107","ｹﾗｹﾗｹﾗ","1","99","0","0","4","40","0","0","0","0"
"1000201","素材、そざい！ケラケラケラ……","1","99","0","0","4","40","0","0","0","0"
"1000202","素材、ザックザク？ケラケラケラ……","900","99","0","0","0","0","0","0","0","0"
"1000203","素材？うん、持ってるよ……あげないけど","900","99","0","0","0","0","0","0","0","0"
"1000204","素材ですか？ありますよ…","900","99","0","0","0","0","0","0","0","0"
"1000301","素材、そざい！ケラケラケラ……","900","99","0","0","0","0","0","0","0","0"
"1000302","素材、ザックザク？ケラケラケラ……","900","99","0","0","0","0","0","0","0","0"
"1000303","調子はいかがかしら、冒険者さん！","900","99","0","0","0","0","0","0","0","0"
"1000304","ごきげんよう、皆様","900","99","0","0","0","0","0","0","0","0"
"1000401","仕方ないね、お相手してあげるよ","900","99","0","0","0","0","0","0","0","0"
"1000402","ふふっ、僕に勝ったらいいモノあげる","900","99","0","0","0","0","0","0","0","0"
"1000403","ししししっ！順調なのもここまでだよ","900","99","0","0","0","0","0","0","0","0"
"1000404","ガギィーーーン！オレ、負けない！","900","99","0","0","0","0","0","0","0","0"
"1000405","グオオオオオオオッ！！さぁ、準備はいいか！？","900","99","0","0","0","0","0","0","0","0"
"1000501","むーっ……","900","99","0","0","0","0","0","0","0","0"
"1000502","むむーっ……","900","99","0","0","0","0","0","0","0","0"
"1000503","むむーむーっっ……！","900","99","0","0","0","0","0","0","0","0"
"1000504","むっむむむーむーむーっっ……！！","900","99","0","0","0","0","0","0","0","0"
"1000601","成長は日進月歩よ・・・","900","99","0","0","0","0","0","0","0","0"
"1000602","人心はお金で買えるぞ！","900","99","0","0","0","0","0","0","0","0"
"1000603","幸福はいりませんか？","900","99","0","0","0","0","0","0","0","0"
"1000604","笠のお礼です！　どうぞ！　どうぞ！","900","99","0","0","0","0","0","0","0","0"
"1100101","むっむっ……","900","99","0","0","0","0","0","0","0","0"
"1100102","むっむっむっ……","1","99","0","0","4","70","0","0","0","0"
"1100103","むっむむっむっ……！","1","99","0","0","4","70","0","0","0","0"
"1100104","……むむっ……むぅ……！！","900","99","0","0","0","0","0","0","0","0"
"1100201","むー……","900","99","0","0","0","0","0","0","0","0"
"1100202","むーむー……","900","99","0","0","0","0","0","0","0","0"
"1100203","むーむむー……！","900","99","0","0","0","0","0","0","0","0"
"1100204","……むーむむーむー……！！","900","99","0","0","0","0","0","0","0","0"
"1100301","むぅー……","900","99","0","0","0","0","0","0","0","0"
"1100302","むむぅー……","900","99","0","0","0","0","0","0","0","0"
"1100303","むぅーむむぅー……！","900","99","0","0","0","0","0","0","0","0"
"1100304","……むぅー……むぅぅー……！！","900","99","0","0","0","0","0","0","0","0"
"2000201","あなた、わたしが見えるの？だったら一緒に遊ぼうよ！","900","99","0","0","0","0","0","0","0","0"
"2000202","もっといっぱい遊んでよ！","2","99","0","0","2","200","0","0","0","0"
"2000203","受けとめてね！いっくよーー！","900","99","0","0","0","0","0","0","0","0"
"2000204","0","2","99","0","0","2","400","0","0","0","0"
"2000205","きみ、どうしたの？迷子かな？","900","99","0","0","0","0","0","0","0","0"
"2000206","あんたの強さ、試させてもらうよっ！","900","99","0","0","0","0","0","0","0","0"
"2000301","ここは通さないよ","101","0","0","0","0","0","2","150","2","0"
"2000302","あらあら、ようこそいらっしゃいましたー","900","99","0","0","0","0","0","0","0","0"
"2000303","ちょっとだけ、はりきっちゃいますわ","101","0","0","0","0","0","1","130","2","0"
"2000304","これならいかがでしょう？","900","99","0","0","0","0","1","0","0","0"
"2000305","耐え切ってみせてくださいませ！","2","99","0","0","2","500","0","0","0","0"
"2000306","強い方とお見受けしました！ということで……","1","99","0","0","2","20","0","0","0","0"
"2000307","強い方がいらっしゃるのは嬉しいですわ","1","99","0","0","2","100","0","0","0","0"
"2000308","はい、はい、私がお相手しますよ","900","99","0","0","0","0","0","0","0","0"
"2000309","これならどうでしょうかね？","2","99","0","0","2","200","0","0","0","0"
"2000401","床、ビショビショ……だヨ♪","900","99","0","0","0","0","0","0","0","0"
"2000402","負けない……ヨ♪","1","99","0","0","2","200","0","0","0","0"
"2000403","ビショビショ♪ビッショビショ♪","900","99","0","0","0","0","0","0","0","0"
"2000404","ごめんなさ?い、まだお掃除中ですよぅ","900","99","0","0","0","0","0","0","0","0"
"2000405","床、すべりますから、お気をつけて？","2","99","0","0","2","150","0","0","0","0"
"2000501","ここを通れるとおもっているのか？ししししっ","101","0","0","0","0","0","2","110","0","0"
"2000502","ここまで来るとは、たいしたものだ","900","99","0","0","0","0","0","0","0","0"
"2000503","少しだけ、本気を出してやろう","101","0","0","0","0","0","1","130","2","0"
"2000504","私の力を見せてやろう","900","99","0","0","0","0","1","0","0","0"
"2000505","私の一撃、生き延びてみせよ","2","99","0","0","2","500","0","0","0","0"
"2000506","どれほど強いか見極めてやろう","1","99","0","0","2","20","0","0","0","0"
"2000507","なかなかやるではないか","1","99","0","0","2","100","0","0","0","0"
"2000508","僕が相手をするのだぁー","900","99","0","0","0","0","0","0","0","0"
"2000509","ハイパーモイスチャーだぁ","2","99","0","0","2","200","0","0","0","0"
"2000601","ようこそおいでなすったニャー","900","99","0","0","0","0","0","0","0","0"
"2000602","んもう！　ここは逃げの一手ニャー","103","0","0","0","0","0","0","30","1","0"
"2000603","川に引きずり込んでやる！","101","0","0","0","0","0","1","130","2","0"
"2000604","これでもくらいな！","4","13","0","0","0","0","3","50","5","0"
"2000605","。","2","99","0","0","2","500","0","0","0","0"
"2000611","え……えっと。こっちにこないで……！","5","12","0","0","0","0","2","0","0","0"
"2000612","あ、あ……。ごめん。いたかった……？","900","99","0","0","0","0","0","0","0","0"
"2000613","うう……やっぱりこないで……！","2","99","0","0","2","100","0","0","0","0"
"2000614","むすぅ……もうおこったんだからー！ 「みっつー……」","900","0","0","0","0","0","0","0","0","0"
"2000615","「ふたーつ……」","900","0","0","0","0","0","0","0","0","0"
"2000616","「ひとーつ……」","900","0","0","0","0","0","0","0","0","0"
"2000617","どっ……せいー！！","2","99","0","0","2","1000","0","0","0","0"
"2000618","ひぎっ！　かぜなんてきらい……","5","11","3","0","0","0","5","0","0","0"
"2000701","あなたのハートを撃ち抜いちゃうよー！","900","0","0","0","0","0","0","0","0","0"
"2000702","はりきって、お仕事しちゃうよー！","900","0","0","0","0","0","0","0","0","0"
"2000703","傷ついた心は私が癒すわ！","103","100","0","0","0","0","0","5","5","0"
"2000704","大地の力…見せて差し上げましょう","2","99","0","0","9","1800","0","0","0","0"
"2000705","大地の力…見せて差し上げましょう","2","99","0","0","9","4000","0","0","0","0"
"2000706","この地を荒らす方はどなたですか","900","99","0","0","0","0","0","0","0","0"
"2000707","大地の力…見せて差し上げましょう","2","99","0","0","9","6000","0","0","0","0"
"2000708","なっ…なによっ！こっちにこないでよ?","900","0","0","0","0","0","0","0","0","0"
"2000709","お前らなんか、こうしてやるんだから?","4","15","0","0","0","0","5","700","9","0"
"2000710","痛いことしないでよ?、バカァ?！","102","0","0","0","0","0","2","50","9","0"
"2000711","みんなー！ガンバれー！","101","1","0","0","0","0","2","100","2","0"
"2000712","お前らなんか、こうしてやるんだから?","4","13","0","0","0","0","3","400","9","0"
"2000713","わ、私のとっておきを見せてやるわよ！","5","11","0","0","0","0","2","0","0","0"
"2000714","私の輝きに目を奪われちゃう？","5","12","0","0","0","0","2","0","0","0"
"2000715","お前らなんか、こうしてやるんだから?","4","12","0","0","0","0","3","200","9","0"
"2000801","美味そうなにおいがするニャ?","900","99","0","0","0","0","0","0","0","0"
"2000802","ニャッ！なかなかやるニャ","2","99","0","0","2","200","0","0","0","0"
"2000803","ネコキーック！に見せかけてネコパーンチッ！！","2","99","0","0","2","400","0","0","0","0"
"2000804","ぼくの舞を見ていきなっ","900","99","0","0","0","0","0","0","0","0"
"2000805","ぼくの舞を見ていきなっ","900","99","0","0","0","0","0","0","0","0"
"2000901","ダメージカットしちゃうよ?","102","0","0","0","0","0","1000","100","9","0"
"2000902","わしの職人魂、見せてやりますぞ","900","99","0","0","0","0","0","0","0","0"
"2000903","わしの熟練の技はいかがかな","1","99","0","0","2","100","0","0","0","0"
"2000904","気合の一発よっ！","1","99","0","0","2","100","0","0","0","0"
"2000905","毒クルミをくらいなさいっ！","4","11","0","0","0","0","2","250","9","0"
"2000906","感じるわ…よく来たわね","900","99","0","0","0","0","0","0","0","0"
"2000907","ふふっ…次で最後だわ…","900","99","0","0","0","0","0","0","0","0"
"2000908","徹底的に潰してあげる","2","99","0","0","9","4000","0","0","0","0"
"2000909","木の祝福を感じるわ…","102","0","0","0","9","0","4","30","9","0"
"2001001","…体力吸収","6","11","0","0","9","6000","0","0","0","0"
"2001002","…多段攻撃","7","11","0","0","9","1050","0","4","0","0"
"2001003","…多段攻撃","7","11","0","0","9","1066","0","3","0","0"
"2001004","…固定ダメージ","1","11","0","0","9","50000000","0","0","0","0"
"2001005","…","2","99","0","0","2","500","0","0","0","0"
"2001006","…","1","99","0","0","2","20","0","0","0","0"
"2001007","…","1","99","0","0","2","100","0","0","0","0"
"2001008","…","900","99","0","0","0","0","0","0","0","0"
"2001009","…","2","99","0","0","2","200","0","0","0","0"
"2001101","な、なによ……わたしの手作りチョコ、ほしいの？","900","0","0","0","0","0","0","0","0","0"
"2001102","ちょっとだけなら、味見させてあげるわ","4","12","0","0","0","0","2","400","9","0"
"2001103","口直しがしたい？失礼しちゃう！","2","99","0","0","2","110","0","0","0","0"
"2001104","暑いわ！チョコが溶けちゃうじゃない","5","15","1","0","0","0","1","0","0","0"
"2001105","そこまで言うなら！お腹いっぱい食べさせてあげる","900","0","0","0","0","0","0","0","0","0"
"2001106","ぜーんぶ残さず食べてよねっっ！","2","99","0","0","2","120","0","0","0","0"
"2001107","ちょっとだけなら、味見させてあげるわ","4","13","0","0","0","0","3","600","9","0"
"2001108","ちょっとだけなら、味見させてあげるわ","4","14","0","0","0","0","4","1000","9","0"
"2001109","ぜーんぶ残さず食べてよねっっ！","2","99","0","0","2","150","0","0","0","0"
"2001110","ぜーんぶ残さず食べてよねっっ！","2","99","0","0","2","200","0","0","0","0"
"2001111","クルミの形のチョコをどうぞ！","5","12","0","0","0","0","5","0","0","0"
"2001112","……ごめんね。さっきの、普通のクルミだったわ","900","0","0","0","0","0","0","0","0","0"
"2001113","手作りチョコがほしいなら！","900","0","0","0","0","0","0","0","0","0"
"2001114","私たちを倒してみなさい！","900","0","0","0","0","0","0","0","0","0"
"2001115","まだ作ってる途中っ！みないでっっ！","900","0","0","0","0","0","0","0","0","0"
"2001116","クルミの形のチョコをどうぞ！","5","12","0","0","0","0","2","0","0","0"
"2001117","クルミの形のチョコをどうぞ！","5","12","0","0","0","0","3","0","0","0"
"2001501","これあげるね♪","4","15","0","0","0","0","5","190","9","0"
"2001502",,"4","14","0","0","0","0","3","300","9","0"
"2001503","ちょっくら、みせつけてやっか","4","13","0","0","2","100","2","240","9","0"
"2001504","お疲れさま、お茶でも飲むか？","4","14","0","0","0","0","3","410","9","0"
"2001505","ほれ、もう一発","4","14","0","0","2","100","3","410","9","0"
"2001506",,"103","0","0","0","2","100","0","10000","9","0"
"2001507","これあげるね♪","4","15","0","0","0","0","5","420","9","0"
"2001508","悪あがき、してみてよ","1","99","0","0","4","50","0","0","0","0"
"2001509","威勢のいい奴だな","4","13","0","0","0","0","3","450","9","0"
"2001510","悪かぁねぇぜ","4","13","0","0","2","100","3","450","9","0"
"2001511","オレに戦いを挑むとはな","4","14","0","0","0","0","3","710","9","0"
"2001512","ほれ、もう一発","4","13","0","0","2","100","3","710","9","0"
"2001513",,"103","0","0","0","2","100","0","20000","9","0"
"2001514","これあげるね♪","4","15","0","0","0","0","5","540","9","0"
"2001515","もっと抵抗してみてよ","1","99","0","0","4","50","0","0","0","0"
"2001516","威勢のいい奴だな","4","13","0","0","0","0","3","630","9","0"
"2001517","やるじゃねぇか","4","13","0","0","2","100","3","630","9","0"
"2001518","むっむっむ","4","13","0","2","100","0","5","1000","9","0"
"2001519","百鬼夜行の大号令……なーんてな","4","14","0","0","0","0","3","990","9","0"
"2001520","少しだけ遊んでやろう","4","13","0","0","2","100","3","990","9","0"
"2001521",,"103","0","0","0","2","100","0","50000","9","0"
"3000101","むっ…リリース1ヶ月記念1日め！","900","0","0","0","0","0","0","0","0","0"
"3000201","むむっ…リリース1ヶ月記念2日め！","900","0","0","0","0","0","0","0","0","0"
"3000302","むっむっ…リリース1ヶ月記念3日め！","900","0","0","0","0","0","0","0","0","0"
"3000403","むっ…リリース1ヶ月記念4日め！","900","0","0","0","0","0","0","0","0","0"
"3000504","むむっ…リリース1ヶ月記念5日め！","900","0","0","0","0","0","0","0","0","0"
"3000605","むっむっ…リリース1ヶ月記念最終日！","900","0","0","0","0","0","0","0","0","0"
"3000701","やってる？アビリティけいしょー","900","0","0","0","0","0","0","0","0","0"
"3000801","アビリティ継承ちゃんとしてるかしら？","900","0","0","0","0","0","0","0","0","0"
"3000901","アビリティ継承しなさいよぉ……","900","0","0","0","0","0","0","0","0","0"
"3001001","キッ…明けましておめでとう！１日め！","900","0","0","0","0","0","0","0","0","0"
"3001101","キキッ…明けましておめでとう！２日め！","900","0","0","0","0","0","0","0","0","0"
"3001201","キっキッ…明けましておめでとう！最終日！","900","0","0","0","0","0","0","0","0","0"
"4000101","オトギは限界を超えて強くなるんです！","900","99","0","0","0","0","0","0","0","0"
"4000102","いっしょに強くなりましょう","900","99","0","0","0","0","0","0","0","0"
"4000103","ツムリさまが待ってるよ","900","99","0","0","0","0","0","0","0","0"
"4000104","次で決まっちゃうかもよ","1","99","0","0","0","0","0","0","0","0"
"4000105","これも戦いだからね　いくよ","1","99","0","0","2","200","0","0","0","0"
"4000106","風を止めてみましょうか","5","12","3","0","0","0","2","0","0","0"
"4000107","風よ　動かないでくださいね","5","13","3","0","0","0","1","0","0","0"
"4000108","次の攻撃は痛いかもしれません","101","0","0","0","0","0","1","130","2","0"
"4000109","そろそろ終わりの時間ですね","900","99","0","0","0","0","1","0","0","0"
"4000110","私を超えて強くなってください！","2","99","0","0","2","200","0","0","0","0"
"4000111","私を超えて強くなってください！","2","99","0","0","2","160","0","0","0","0"
"4000112","闘いもなかばを越えて来ましたね","900","99","0","0","0","0","1","0","0","0"
"4000113","ひとつ風よ　止まって下さい","5","11","3","0","0","0","3","0","0","0"
"4000201","オトギの力を解放する、それが限界突破です！","900","99","0","0","0","0","0","0","0","0"
"4000202","オトギは限界を超えて強くなるんです！","900","99","0","0","0","0","0","0","0","0"
"4000203","ツムリさまが待ってるよ","900","99","0","0","0","0","0","0","0","0"
"4000204","次で決まっちゃうかもよ","1","99","0","0","0","0","0","0","0","0"
"4000205","これも戦いだからね　いくよ","1","99","0","0","2","200","0","0","0","0"
"4000206","風を止めてみましょうか","5","12","3","0","0","0","2","0","0","0"
"4000207","風よ　動かないでくださいね","5","13","3","0","0","0","1","0","0","0"
"4000208","次の攻撃は痛いかもしれません","101","0","0","0","0","0","1","130","2","0"
"4000209","そろそろ終わりの時間ですね","900","99","0","0","0","0","1","0","0","0"
"4000210","私を超えて強くなってください！","2","99","0","0","2","200","0","0","0","0"
"4000211","耐えてみてください……そぉれッ！！","2","99","0","0","2","160","0","0","0","0"
"4000212","闘いもなかばを越えて来ましたね","900","99","0","0","0","0","1","0","0","0"
"4000213","試練を与えましょう","5","11","3","0","0","0","3","0","0","0"
"5000101","…","900","0","0","0","0","0","0","0","0","0"
"5000102","…","900","0","0","0","0","0","0","0","0","0"
"5000103","…","103","100","0","0","0","0","0","5","5","0"
"5000104","…","2","99","0","0","9","1800","0","0","0","0"
"5000105","…","2","99","0","0","9","4000","0","0","0","0"
"5000106","…","900","99","0","0","0","0","0","0","0","0"
"5000107","…","2","99","0","0","9","6000","0","0","0","0"
